VisaType,countries,date_gov,date,delay,delay_days,datetype
1st,ROW,2024-07-01,2024-07-01,0 days,0.0,Final Action Date
2nd,ROW,2023-03-15,2024-07-01,474 days,474.0,Final Action Date
3rd,ROW,2021-12-01,2024-07-01,943 days,943.0,Final Action Date
Other Workers,ROW,2021-01-01,2024-07-01,1277 days,1277.0,Final Action Date
4th,ROW,2021-01-01,2024-07-01,1277 days,1277.0,Final Action Date
Certain Religious Workers,ROW,2021-01-01,2024-07-01,1277 days,1277.0,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",ROW,2024-07-01,2024-07-01,0 days,0.0,Final Action Date
"5th Set Aside:
Rural (20%)",ROW,2024-07-01,2024-07-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",ROW,2024-07-01,2024-07-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",ROW,2024-07-01,2024-07-01,0 days,0.0,Final Action Date
1st,CHINA,2022-11-01,2024-07-01,608 days,608.0,Final Action Date
2nd,CHINA,2020-03-01,2024-07-01,1583 days,1583.0,Final Action Date
3rd,CHINA,2020-09-01,2024-07-01,1399 days,1399.0,Final Action Date
Other Workers,CHINA,2017-01-01,2024-07-01,2738 days,2738.0,Final Action Date
4th,CHINA,2021-01-01,2024-07-01,1277 days,1277.0,Final Action Date
Certain Religious Workers,CHINA,2021-01-01,2024-07-01,1277 days,1277.0,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",CHINA,2015-12-15,2024-07-01,3121 days,3121.0,Final Action Date
"5th Set Aside:
Rural (20%)",CHINA,2024-07-01,2024-07-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",CHINA,2024-07-01,2024-07-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",CHINA,2024-07-01,2024-07-01,0 days,0.0,Final Action Date
1st,INDIA,2022-02-01,2024-07-01,881 days,881.0,Final Action Date
2nd,INDIA,2012-06-15,2024-07-01,4399 days,4399.0,Final Action Date
3rd,INDIA,2012-09-22,2024-07-01,4300 days,4300.0,Final Action Date
Other Workers,INDIA,2012-09-22,2024-07-01,4300 days,4300.0,Final Action Date
4th,INDIA,2021-01-01,2024-07-01,1277 days,1277.0,Final Action Date
Certain Religious Workers,INDIA,2021-01-01,2024-07-01,1277 days,1277.0,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",INDIA,2020-12-01,2024-07-01,1308 days,1308.0,Final Action Date
"5th Set Aside:
Rural (20%)",INDIA,2024-07-01,2024-07-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",INDIA,2024-07-01,2024-07-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",INDIA,2024-07-01,2024-07-01,0 days,0.0,Final Action Date
1st,MEXICO,2024-07-01,2024-07-01,0 days,0.0,Final Action Date
2nd,MEXICO,2023-03-15,2024-07-01,474 days,474.0,Final Action Date
3rd,MEXICO,2021-12-01,2024-07-01,943 days,943.0,Final Action Date
Other Workers,MEXICO,2021-01-01,2024-07-01,1277 days,1277.0,Final Action Date
4th,MEXICO,2021-01-01,2024-07-01,1277 days,1277.0,Final Action Date
Certain Religious Workers,MEXICO,2021-01-01,2024-07-01,1277 days,1277.0,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",MEXICO,2024-07-01,2024-07-01,0 days,0.0,Final Action Date
"5th Set Aside:
Rural (20%)",MEXICO,2024-07-01,2024-07-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",MEXICO,2024-07-01,2024-07-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",MEXICO,2024-07-01,2024-07-01,0 days,0.0,Final Action Date
1st,PHILIPPINES,2024-07-01,2024-07-01,0 days,0.0,Final Action Date
2nd,PHILIPPINES,2023-03-15,2024-07-01,474 days,474.0,Final Action Date
3rd,PHILIPPINES,2021-12-01,2024-07-01,943 days,943.0,Final Action Date
Other Workers,PHILIPPINES,2020-05-01,2024-07-01,1522 days,1522.0,Final Action Date
4th,PHILIPPINES,2021-01-01,2024-07-01,1277 days,1277.0,Final Action Date
Certain Religious Workers,PHILIPPINES,2021-01-01,2024-07-01,1277 days,1277.0,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",PHILIPPINES,2024-07-01,2024-07-01,0 days,0.0,Final Action Date
"5th Set Aside:
Rural (20%)",PHILIPPINES,2024-07-01,2024-07-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",PHILIPPINES,2024-07-01,2024-07-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",PHILIPPINES,2024-07-01,2024-07-01,0 days,0.0,Final Action Date
1st,ROW,2024-06-01,2024-06-01,0 days,0.0,Final Action Date
2nd,ROW,2023-01-15,2024-06-01,503 days,503.0,Final Action Date
3rd,ROW,2022-11-22,2024-06-01,557 days,557.0,Final Action Date
Other Workers,ROW,2020-10-08,2024-06-01,1332 days,1332.0,Final Action Date
4th,ROW,2020-11-01,2024-06-01,1308 days,1308.0,Final Action Date
Certain Religious Workers,ROW,2020-11-01,2024-06-01,1308 days,1308.0,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",ROW,2024-06-01,2024-06-01,0 days,0.0,Final Action Date
"5th Set Aside:
Rural (20%)",ROW,2024-06-01,2024-06-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",ROW,2024-06-01,2024-06-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",ROW,2024-06-01,2024-06-01,0 days,0.0,Final Action Date
1st,CHINA,2022-09-01,2024-06-01,639 days,639.0,Final Action Date
2nd,CHINA,2020-02-01,2024-06-01,1582 days,1582.0,Final Action Date
3rd,CHINA,2020-09-01,2024-06-01,1369 days,1369.0,Final Action Date
Other Workers,CHINA,2017-01-01,2024-06-01,2708 days,2708.0,Final Action Date
4th,CHINA,2020-11-01,2024-06-01,1308 days,1308.0,Final Action Date
Certain Religious Workers,CHINA,2020-11-01,2024-06-01,1308 days,1308.0,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",CHINA,2015-12-15,2024-06-01,3091 days,3091.0,Final Action Date
"5th Set Aside:
Rural (20%)",CHINA,2024-06-01,2024-06-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",CHINA,2024-06-01,2024-06-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",CHINA,2024-06-01,2024-06-01,0 days,0.0,Final Action Date
1st,INDIA,2021-03-01,2024-06-01,1188 days,1188.0,Final Action Date
2nd,INDIA,2012-04-15,2024-06-01,4430 days,4430.0,Final Action Date
3rd,INDIA,2012-08-22,2024-06-01,4301 days,4301.0,Final Action Date
Other Workers,INDIA,2012-08-22,2024-06-01,4301 days,4301.0,Final Action Date
4th,INDIA,2020-11-01,2024-06-01,1308 days,1308.0,Final Action Date
Certain Religious Workers,INDIA,2020-11-01,2024-06-01,1308 days,1308.0,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",INDIA,2020-12-01,2024-06-01,1278 days,1278.0,Final Action Date
"5th Set Aside:
Rural (20%)",INDIA,2024-06-01,2024-06-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",INDIA,2024-06-01,2024-06-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",INDIA,2024-06-01,2024-06-01,0 days,0.0,Final Action Date
1st,MEXICO,2024-06-01,2024-06-01,0 days,0.0,Final Action Date
2nd,MEXICO,2023-01-15,2024-06-01,503 days,503.0,Final Action Date
3rd,MEXICO,2022-11-22,2024-06-01,557 days,557.0,Final Action Date
Other Workers,MEXICO,2020-10-08,2024-06-01,1332 days,1332.0,Final Action Date
4th,MEXICO,2020-11-01,2024-06-01,1308 days,1308.0,Final Action Date
Certain Religious Workers,MEXICO,2020-11-01,2024-06-01,1308 days,1308.0,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",MEXICO,2024-06-01,2024-06-01,0 days,0.0,Final Action Date
"5th Set Aside:
Rural (20%)",MEXICO,2024-06-01,2024-06-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",MEXICO,2024-06-01,2024-06-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",MEXICO,2024-06-01,2024-06-01,0 days,0.0,Final Action Date
1st,PHILIPPINES,2024-06-01,2024-06-01,0 days,0.0,Final Action Date
2nd,PHILIPPINES,2023-01-15,2024-06-01,503 days,503.0,Final Action Date
3rd,PHILIPPINES,2022-11-22,2024-06-01,557 days,557.0,Final Action Date
Other Workers,PHILIPPINES,2020-05-01,2024-06-01,1492 days,1492.0,Final Action Date
4th,PHILIPPINES,2020-11-01,2024-06-01,1308 days,1308.0,Final Action Date
Certain Religious Workers,PHILIPPINES,2020-11-01,2024-06-01,1308 days,1308.0,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",PHILIPPINES,2024-06-01,2024-06-01,0 days,0.0,Final Action Date
"5th Set Aside:
Rural (20%)",PHILIPPINES,2024-06-01,2024-06-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",PHILIPPINES,2024-06-01,2024-06-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",PHILIPPINES,2024-06-01,2024-06-01,0 days,0.0,Final Action Date
1st,ROW,2024-05-01,2024-05-01,0 days,0.0,Final Action Date
2nd,ROW,2023-01-15,2024-05-01,472 days,472.0,Final Action Date
3rd,ROW,2022-11-22,2024-05-01,526 days,526.0,Final Action Date
Other Workers,ROW,2020-10-08,2024-05-01,1301 days,1301.0,Final Action Date
4th,ROW,2020-11-01,2024-05-01,1277 days,1277.0,Final Action Date
Certain Religious Workers,ROW,2020-11-01,2024-05-01,1277 days,1277.0,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",ROW,2024-05-01,2024-05-01,0 days,0.0,Final Action Date
"5th Set Aside:
Rural (20%)",ROW,2024-05-01,2024-05-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",ROW,2024-05-01,2024-05-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",ROW,2024-05-01,2024-05-01,0 days,0.0,Final Action Date
1st,CHINA,2022-09-01,2024-05-01,608 days,608.0,Final Action Date
2nd,CHINA,2020-02-01,2024-05-01,1551 days,1551.0,Final Action Date
3rd,CHINA,2020-09-01,2024-05-01,1338 days,1338.0,Final Action Date
Other Workers,CHINA,2017-01-01,2024-05-01,2677 days,2677.0,Final Action Date
4th,CHINA,2020-11-01,2024-05-01,1277 days,1277.0,Final Action Date
Certain Religious Workers,CHINA,2020-11-01,2024-05-01,1277 days,1277.0,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",CHINA,2015-12-15,2024-05-01,3060 days,3060.0,Final Action Date
"5th Set Aside:
Rural (20%)",CHINA,2024-05-01,2024-05-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",CHINA,2024-05-01,2024-05-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",CHINA,2024-05-01,2024-05-01,0 days,0.0,Final Action Date
1st,INDIA,2021-03-01,2024-05-01,1157 days,1157.0,Final Action Date
2nd,INDIA,2012-04-15,2024-05-01,4399 days,4399.0,Final Action Date
3rd,INDIA,2012-08-15,2024-05-01,4277 days,4277.0,Final Action Date
Other Workers,INDIA,2012-08-15,2024-05-01,4277 days,4277.0,Final Action Date
4th,INDIA,2020-11-01,2024-05-01,1277 days,1277.0,Final Action Date
